,BRAND,PRODUCT_NAME,PRICE,RETURN/EXCHANGE,EXPECTED_DELIVERY,AVAILABILITY,PRODUCT_LINK
132,Intern,"Intern INT-38C-L-BLS Left Hand Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Blue","₹2,126.00",7 Days Replacement,"Wednesday, 28 September",Only 1 left in stock.,https://www.amazon.in/Intern-INT-38C-L-BLS-Left-Acoustic-Guitar/dp/B07J4VX4D7/ref=sr_1_115?keywords=guitar&qid=1664042210&sr=8-115
133,Intern,"INTERN 40 inches Acoustic Guitar with Pick-up & truss rod, carry bag, strings pack, strap & picks. Premium Wooden durable built, Best tonal stability with professional sound amplificaiton. (Stripes)","₹5,183.19",7 Days Replacement,"Wednesday, 28 September",In stock.,https://www.amazon.in/Acoustic-Pick-up-stability-professional-amplificaiton/dp/B09YH9BYVP/ref=sr_1_116?keywords=guitar&qid=1664042210&sr=8-116
134,Intern,"INTERN 41 inches Cutaway Shape Acoustic Guitar with truss rod. Includes plectrums. Premium Wooden durable built, Best tonal stability and bend resistance (Refreshing Natural).","₹3,324.00",7 Days Replacement,"Wednesday, 28 September",In stock.,https://www.amazon.in/Acoustic-plectrums-stability-resistance-Refreshing/dp/B09YH8FGL6/ref=sr_1_117?keywords=guitar&qid=1664042210&sr=8-117
135,Intern,"INTERN Cutaway Design Acoustic Guitar Pack -Humidity Proof, Bend resistant, Durable Action, Natural tone & resonance. Natural Carbon Fibre/Fiber Guitar with Bag, Strap, Strings set & Plectrums.","₹2,399.00",7 Days Replacement,"Wednesday, 28 September",In stock.,https://www.amazon.in/Acoustic-Humidity-resistant-resonance-Plectrums/dp/B09RQZG25Q/ref=sr_1_118?keywords=guitar&qid=1664042210&sr=8-118
136,Fender,"Fender SA105CE Electric Acoustic Guitar With Bag, Belt & Plectrums, String Set Combo Pack (NT)","₹12,488.00",7 Days Replacement,"Thursday, 29 September",In stock.,https://www.amazon.in/Fender-SA105CE-Electric-Acoustic-Plectrums/dp/B0944BJ9KZ/ref=sr_1_119?keywords=guitar&qid=1664042210&sr=8-119
137,JUAREZ,"JUAREZ Arpeggio 99.06 cm (39 Inch) Semi-Acoustic Guitar Kit, Spruce Top, Rosewood Fretboard & Bridge, Truss Rod, 4 Band EQ, Chrome Die Cast Machine Tuners, Black","₹6,165.00",7 Days Replacement,"Thursday, 29 September",In stock.,https://www.amazon.in/JUAREZ-Arpeggio-Semi-Acoustic-Rosewood-Fretboard/dp/B08LBG3F36/ref=sr_1_120?keywords=guitar&qid=1664042210&sr=8-120
138,YAMAHA,"Yamaha C40M Classical Guitar, Mahagony","₹7,990.00",7 Days Replacement,"Wednesday, 5 October",In stock.,https://www.amazon.in/Yamaha-C40MII-Acoustic-Concert-Guitar/dp/B005LG2JRK/ref=sr_1_121?keywords=guitar&qid=1664042210&sr=8-121
139,Epiphone,"Epiphone Les Paul Muse 6 String Right Handed Electric Guitar, Wanderlust Green Metallic","₹52,562.00",7 Days Replacement,"Thursday, 29 September",In stock.,https://www.amazon.in/Epiphone-String-Electric-Wanderlust-Metallic/dp/B08628Z2NZ/ref=sr_1_122?keywords=guitar&qid=1664042210&sr=8-122
140,Intern,"INTERN 41 inches Acoustic Guitar with truss rod. Includes carry bag, strings pack, strap & plectrums. Premium Wooden durable built, tonal stability & for all age-groups(Electric Blue).","₹3,399.00",7 Days Replacement,"Wednesday, 28 September",In stock.,https://www.amazon.in/Acoustic-plectrums-stability-age-groups-Electric/dp/B09YH8JRZH/ref=sr_1_123?keywords=guitar&qid=1664042210&sr=8-123
141,YAMAHA,YAMAHA WINNING STROKE F280 Acoustic Guitar with Bag Combo (Natural),"₹8,280.00",7 Days Replacement,"Thursday, 29 September",Only 1 left in stock.,https://www.amazon.in/YAMAHA-WINNING-F280-Acoustic-Natural/dp/B0842J4VYL/ref=sr_1_124?keywords=guitar&qid=1664042210&sr=8-124
